,date,cases,population,land_area
0,1/2/20,2,103761,63589599
1,1/3/20,3,119299,100843290
2,1/5/20,2,58481,27893334
3,1/6/20,2,31070,11297783
4,1/7/20,1,91326,19235615
5,1/8/20,1,84573,19848453
6,1/20/20,1,74298,18422020
7,1/21/20,1,43735,115254887
8,1/27/20,1,43125,12236667
9,1/28/20,1,19777,9375542
10,2/4/20,1,27858,88878409
11,2/17/20,3,116191,122892465
12,2/18/20,1,71663,10468217
13,2/21/20,1,50955,42961291
14,2/22/20,1,72202,28281273
15,2/23/20,1,38585,35545352
16,2/25/20,1,37633,24323149
17,2/27/20,1,71714,38771835
18,2/28/20,2,70044,57681207
19,3/1/20,4,151039,290547403
20,3/2/20,2,109582,33461021
21,3/3/20,8,282516,389440297
22,3/4/20,5,190157,95637746
23,3/5/20,11,419143,177506300
24,3/6/20,3,175571,65379960
25,3/7/20,5.714285714,356774,114786349
26,3/8/20,6.714285714,533007,348126929
27,3/9/20,7.428571429,300486,236966753
28,3/10/20,7.857142857,441846,354199767
29,3/11/20,9.142857143,613211,640495831
30,3/12/20,9.857142857,710123,384015120
31,3/13/20,13,900287,635251698
32,3/14/20,15.71428571,940041,592758685
33,3/15/20,20.14285714,1504220,851259653
34,3/16/20,25.71428571,1687052,1509752824
35,3/17/20,31.28571429,1742375,932464953
36,3/18/20,40.42857143,2531722,1905301353
37,3/19/20,49.42857143,2222869,3012944936
38,3/20/20,59.71428571,2953970,2763536730
39,3/21/20,71.28571429,3100698,2912401171
40,3/22/20,86.57142857,3787220,4060954190
41,3/23/20,112.5714286,4787715,5115552509
42,3/24/20,137.4285714,5013399,4657553902
43,3/25/20,163.8571429,5381907,6524333197
44,3/26/20,192.7142857,4990651,5146308804
45,3/27/20,224.2857143,5291783,5516943216
46,3/28/20,248.8571429,5454426,5364616259
47,3/29/20,269.1428571,5213178,6207723851
48,3/30/20,289.7142857,6160174,8054386647
49,3/31/20,306.4285714,5964156,6774361063
50,4/1/20,325.8571429,6430819,7405467805
51,4/2/20,336.4285714,6151106,6812451599
52,4/3/20,343.4285714,6046484,7966309880
53,4/4/20,349.8571429,5843146,7107595136
54,4/5/20,348.5714286,5592352,6288235498
55,4/6/20,351.1428571,6026376,8128144748
56,4/7/20,360,6611883,7363904721
57,4/8/20,356.8571429,5963752,7810460280
58,4/9/20,351,5587982,6239874820
59,4/10/20,344,5542292,5530421205
60,4/11/20,338.5714286,5538237,5035911858
61,4/12/20,339.1428571,5217943,5971418675
62,4/13/20,332.1428571,5629659,6669958626
63,4/14/20,322.4285714,5523372,7272193246
64,4/15/20,320.5714286,6517894,8904503208
65,4/16/20,324.5714286,5882491,7028802546
66,4/17/20,324.4285714,5625753,6071294518
67,4/18/20,327.4285714,5846810,6318691584
68,4/19/20,329.7142857,5653366,5612926387
69,4/20/20,336.5714286,6288823,8414545087
70,4/21/20,333,5561531,6540803449
71,4/22/20,325.4285714,5290614,6457357693
72,4/23/20,322.5714286,5914641,7382887607
73,4/24/20,327.4285714,6001804,8028552743
74,4/25/20,320,5221932,4736553295
75,4/26/20,315,5114152,5864821421
76,4/27/20,309.2857143,6168546,7642147343
77,4/28/20,315.2857143,5855748,6211617170
78,4/29/20,316.1428571,5725233,5800506525
79,4/30/20,313.2857143,5498307,7063231290
80,5/1/20,303.5714286,5792778,8622157590
81,5/2/20,310.8571429,5179541,7384487338
82,5/3/20,313.7142857,5129670,6030530433
83,5/4/20,309.5714286,5889880,8432096728
84,5/5/20,307.5714286,6447725,9619716605
85,5/6/20,300.8571429,5445009,5574634916
86,5/7/20,296.2857143,5538123,5797990210
87,5/8/20,286,4977376,5872947940
88,5/9/20,273,4912516,5362001772
89,5/10/20,262,4889206,5330462583
90,5/11/20,255.7142857,5518085,6763182826
91,5/12/20,244.2857143,5000893,4201864203
92,5/13/20,242.7142857,5297105,4729257679
93,5/14/20,243,5323250,6257853000
94,5/15/20,248.7142857,5652458,5984736704
95,5/16/20,246.4285714,4724655,5622583562
96,5/17/20,245.5714286,4455215,6285604910
97,5/18/20,242.4285714,5198971,7676967938
98,5/19/20,239.5714286,5207692,6824489124
99,5/20/20,233.4285714,5007134,6166774406
100,5/21/20,227,4664922,4622469836
101,5/22/20,220,4687581,6099788895
102,5/23/20,218.8571429,4724147,4457141912
103,5/24/20,219,4786916,3973505650
104,5/25/20,211.5714286,4527780,5322898328
105,5/26/20,204.5714286,4753880,6259667207
106,5/27/20,197.1428571,4339285,4153024594
107,5/28/20,188.7142857,4447036,5002270858
108,5/29/20,178.7142857,3577520,4748554950
109,5/30/20,169.4285714,3731695,3199903848
110,5/31/20,155.7142857,2725901,2871912305
111,6/1/20,147.8571429,3808815,3620121253
112,6/2/20,140.4285714,3772534,4518089154
113,6/3/20,135.7142857,3595715,3999981334
114,6/4/20,124.8571429,2925056,3991286077
115,6/5/20,123.2857143,3278493,4014012172
116,6/6/20,118.5714286,2646370,2859240396
117,6/7/20,117.7142857,3156918,4881838519
118,6/8/20,110.1428571,2911859,3002937768
119,6/9/20,102.1428571,2674932,3061652268
120,6/10/20,93.28571429,2407879,2354911928
121,6/11/20,90.71428571,2665312,3707567346
122,6/12/20,83,2077681,2115313143
123,6/13/20,77.42857143,1954024,2180675951
124,6/14/20,70.57142857,1966956,3005562443
125,6/15/20,67.85714286,2063895,2803625122
126,6/16/20,64.57142857,1847681,1349262504
127,6/17/20,63.71428571,2094173,2279938384
128,6/18/20,63.14285714,2336416,2665810503
129,6/19/20,63.28571429,2263903,2181264828
130,6/20/20,63,1791969,2850890881
131,6/21/20,60.71428571,1538087,1454028074
132,6/22/20,60.57142857,2145910,3182552544
133,6/23/20,61.71428571,2131095,2399332681
134,6/24/20,60.71428571,2086782,1967295611
135,6/25/20,60.42857143,2162703,3305770917
136,6/26/20,59.42857143,1903553,2648816139
137,6/27/20,59.42857143,1563613,2017674953
138,6/28/20,63.28571429,2172869,2748790493
139,6/29/20,64.85714286,2388142,3234508791
140,6/30/20,64.28571429,2069526,1864842895
141,7/1/20,63.71428571,1843469,1589945277
142,7/2/20,62,2230766,1988493302
143,7/3/20,62.85714286,1976489,3482724906
144,7/4/20,63.71428571,1727653,2778212150
145,7/5/20,62.85714286,2000258,2782157689
146,7/6/20,60.85714286,2072077,4247838070
147,7/7/20,64.42857143,2652925,3466328996
148,7/8/20,67,2230475,2328303637
149,7/9/20,70.85714286,2863009,4204648161
150,7/10/20,73.28571429,2543050,4238356659
151,7/11/20,73.85714286,1751106,2989749969
152,7/12/20,74.14285714,1945321,2667427497
153,7/13/20,75,2553354,3577641380
154,7/14/20,73.28571429,2493547,4312775485
155,7/15/20,73.28571429,2055900,3449919852
156,7/16/20,73,2536181,4733406852
157,7/17/20,72,2209206,4643893462
158,7/18/20,73.42857143,1984724,5192852584
159,7/19/20,74.28571429,1862529,4139745726
160,7/20/20,74.85714286,2441451,5909090547
161,7/21/20,75.85714286,2162334,4994637482
162,7/22/20,76.28571429,2069230,4166777428
163,7/23/20,77,2539214,3795969448
164,7/24/20,78,2540049,5105798918
165,7/25/20,77.57142857,2076906,4937189500
166,7/26/20,76,1707262,4270826394
167,7/27/20,75.42857143,2390974,4653676904
168,7/28/20,74.57142857,2111974,4421559795
169,7/29/20,75.85714286,2461006,4279209612
170,7/30/20,74.85714286,1959482,4759385353
171,7/31/20,76,2753446,5878921851
172,8/1/20,76.42857143,2186734,4049332761
173,8/2/20,79.71428571,2144019,5068837374
174,8/3/20,80.42857143,2306892,6531273550
175,8/4/20,80.85714286,2294542,4803280403
176,8/5/20,82.57142857,2894278,6953575308
177,8/6/20,83.28571429,2323264,5618140822
178,8/7/20,80.71428571,1980408,5895195335
179,8/8/20,82.28571429,2061524,4946697179
180,8/9/20,81.85714286,2066927,4807865071
181,8/10/20,84.71428571,2752667,6605690861
182,8/11/20,84.57142857,1933025,4144240375
183,8/12/20,84.57142857,2796003,5902463012
184,8/13/20,86.57142857,2719392,7144429012
185,8/14/20,88.57142857,2534459,4797022843
186,8/15/20,86.57142857,2117919,5291377655
187,8/16/20,86.71428571,1997472,5041309381
188,8/17/20,87.14285714,2537402,7191155220
189,8/18/20,88.28571429,2126177,8457209613
190,8/19/20,85,2215979,3485941495
191,8/20/20,81.85714286,2359339,5439188398
192,8/21/20,81.57142857,2121962,5916239217
193,8/22/20,84.28571429,2217254,5854818326
194,8/23/20,85.71428571,2373758,6330314595
195,8/24/20,85.85714286,2553406,9640566545
196,8/25/20,87.71428571,2469713,9482229029
197,8/26/20,91.85714286,2752338,6587547775
198,8/27/20,95.14285714,2626083,7488450863
199,8/28/20,95.14285714,2411564,7254154455
200,8/29/20,93.57142857,2236089,6867335186
201,8/30/20,93,2434678,6451148939
202,8/31/20,93.57142857,3281800,7662095653
203,9/1/20,91.28571429,2039953,7424036758
204,9/2/20,88.28571429,1981574,5177892810
205,9/3/20,86.28571429,2060060,6340883937
206,9/4/20,87,2532652,5856487159
207,9/5/20,87.42857143,2189446,6671605064
208,9/6/20,85.85714286,1961503,6803824215
209,9/7/20,82.28571429,1986215,7750365390
210,9/8/20,81.57142857,2259304,5827206739
211,9/9/20,84,2378505,9075787084
212,9/10/20,81.57142857,1963777,6467074660
213,9/11/20,82.57142857,2848958,6828614881
214,9/12/20,82.14285714,1900692,6664369824
215,9/13/20,82.71428571,1888703,5862174357
216,9/14/20,84.42857143,2479281,7943923993
217,9/15/20,85.28571429,2304133,5281870496
218,9/16/20,86.85714286,2805909,8520419660
219,9/17/20,90.14285714,2295011,6766047292
220,9/18/20,87.57142857,2152817,6600222541
221,9/19/20,87.71428571,2022619,7184809288
222,9/20/20,87.42857143,2040231,5109867719
223,9/21/20,89.57142857,2792480,8849736235
224,9/22/20,90.85714286,2582881,6518105157
225,9/23/20,90,2795262,6801022080
226,9/24/20,89.42857143,2349357,6318119102
227,9/25/20,93.85714286,2854574,9389103234
228,9/26/20,95,2433924,5972045954
229,9/27/20,97.42857143,2523750,6361317418
230,9/28/20,96.28571429,2680200,8986092244
231,9/29/20,99.14285714,2769922,9710375844
232,9/30/20,99.42857143,2385430,8710691797
233,10/1/20,102.4285714,2744715,7506467198
234,10/2/20,101.4285714,2923491,7003470854
235,10/3/20,104.7142857,2720902,7533740461
236,10/4/20,105.2857143,2378778,8360915365
237,10/5/20,106.4285714,2726136,8927021588
238,10/6/20,105.8571429,2761160,9191164535
239,10/7/20,106.2857143,2125460,10934303477
240,10/8/20,107.8571429,2626044,9784169641
241,10/9/20,109.4285714,2685736,10751834693
242,10/10/20,108,2607138,8501266202
243,10/11/20,114.5714286,3438695,9619339449
244,10/12/20,122.5714286,3997984,13766901900
245,10/13/20,129.8571429,3491135,11114241126
246,10/14/20,137.2857143,3633592,12844409671
247,10/15/20,143.2857143,3690515,11053062696
248,10/16/20,151,3885093,14115625793
249,10/17/20,157,3524076,11599608154
250,10/18/20,161.7142857,4052038,12036975047
251,10/19/20,167.5714286,4716623,14085685881
252,10/20/20,175.8571429,5172695,14987244719
253,10/21/20,184,4960825,13310288704
254,10/22/20,190.8571429,5094170,12601632539
255,10/23/20,199.8571429,4670360,12296874342
256,10/24/20,210.2857143,4804415,9961374290
257,10/25/20,218.2857143,4506382,13404541277
258,10/26/20,226.2857143,5636284,17057928972
259,10/27/20,234,5254643,14755538496
260,10/28/20,243,6078940,15545890979
261,10/29/20,251.2857143,5466746,13689072969
262,10/30/20,257.7142857,5922120,16591085949
263,10/31/20,263.7142857,5612205,16139774325
264,11/1/20,273.7142857,5964374,19339341474
265,11/2/20,284.2857143,6539102,17641254854
266,11/3/20,292.8571429,6426941,17001163651
267,11/4/20,298.7142857,5926807,16821993951
268,11/5/20,313.4285714,6642242,21286410332
269,11/6/20,326.7142857,6819758,19584187728
270,11/7/20,344.8571429,6959025,19338197236
271,11/8/20,357.2857143,6885528,20791693343
272,11/9/20,380,7867662,25646416868
273,11/10/20,398.2857143,7642612,23628416298
274,11/11/20,411.1428571,7310028,20854557871
275,11/12/20,422.7142857,7408583,26771427553
276,11/13/20,429.8571429,6706586,24637164876
277,11/14/20,430.5714286,6273253,18027925248
278,11/15/20,428.5714286,6613331,19894315181
279,11/16/20,425.1428571,7381489,25948937002
280,11/17/20,418,6892341,22398937925
281,11/18/20,416.7142857,6839591,23153654032
282,11/19/20,408.8571429,6989760,19976681909
283,11/20/20,405.8571429,7428756,22401311847
284,11/21/20,396.5714286,6427821,19574921610
285,11/22/20,390.1428571,6368813,17629752045
286,11/23/20,382.2857143,7226490,24104784193
287,11/24/20,379,7069835,21015969321
288,11/25/20,377.4285714,6866113,23834378463
289,11/26/20,361.4285714,5477620,13839443777
290,11/27/20,361,7296797,20668706943
291,11/28/20,360.7142857,6605829,16182121805
292,11/29/20,359.8571429,5924471,17791269378
293,11/30/20,357,7111527,21268838367
294,12/1/20,354.5714286,6582745,19390084870
295,12/2/20,347.7142857,6382296,15681894866
296,12/3/20,360.8571429,6983424,19753421331
297,12/4/20,350.2857143,6277357,17967435905
298,12/5/20,347.4285714,6105399,17014920459
299,12/6/20,344.4285714,5906113,15713436282
300,12/7/20,340.5714286,6711712,20909750543
301,12/8/20,336.1428571,6438128,19393930077
302,12/9/20,339.8571429,6972040,19835226629
303,12/10/20,333,6344829,16127393479
304,12/11/20,332.4285714,6281843,18775949733
305,12/12/20,329.7142857,5467776,17068075831
306,12/13/20,326.8571429,5445982,18344930013
307,12/14/20,318.1428571,6003313,15147404023
308,12/15/20,311.8571429,5876124,16170098681
309,12/16/20,303.7142857,6376308,15851993187
310,12/17/20,295.1428571,5443330,17654364488
311,12/18/20,285.5714286,5123708,15486790515
312,12/19/20,284.4285714,5900779,15278746794
313,12/20/20,281,5300219,16872112130
314,12/21/20,280.2857143,5898510,15652954812
315,12/22/20,276.7142857,5190032,16487391613
316,12/23/20,274.1428571,5688775,15067325591
317,12/24/20,263.1428571,4536732,12259724406
318,12/25/20,255,4444528,10898326299
319,12/26/20,253.7142857,5712000,18194273496
320,12/27/20,254.5714286,5926718,15460593432
321,12/28/20,250,5714920,17157525893
322,12/29/20,243,5128898,12995966457
323,12/30/20,232.5714286,4605788,16687517471
324,12/31/20,234.1428571,4551530,10704172821
325,1/1/21,233.5714286,4495680,11033052047
326,1/2/21,228.8571429,5227770,12509794212
327,1/3/21,224.4285714,5441262,15148642357
328,1/4/21,224,5633306,17179172835
329,1/5/21,227.2857143,5321361,15584602709
330,1/6/21,227.7142857,5164830,14504215621
331,1/7/21,228.2857143,4926122,12781611111
332,1/8/21,233.8571429,4657399,13577300962
333,1/9/21,228.2857143,4411553,13206395788
334,1/10/21,221.5714286,4563856,11915496291
335,1/11/21,219,5234001,15823526492
336,1/12/21,212.8571429,4637305,13955553169
337,1/13/21,213.2857143,5487081,15363710679
338,1/14/21,212.5714286,4909608,12055687537
339,1/15/21,206.7142857,4262850,12764328407
340,1/16/21,205.4285714,4529001,9389655841
341,1/17/21,202.7142857,4135364,9988127190
342,1/18/21,199.5714286,5237617,15994880060
343,1/19/21,199,4570126,12447695687
344,1/20/21,190.4285714,3887367,10846052940
345,1/21/21,191.5714286,4738039,11207526813
346,1/22/21,186,3621118,10028711784
347,1/23/21,181.4285714,3632691,9142247890
348,1/24/21,180.5714286,4083505,10788862750
349,1/25/21,176,4521420,10536706637
350,1/26/21,170.5714286,3828901,10525147571
351,1/27/21,170,3660173,9103297429
352,1/28/21,160.8571429,3657249,9481761259
353,1/29/21,158.2857143,3233976,9269083008
354,1/30/21,152.5714286,3092180,8316970399
355,1/31/21,146.1428571,2976362,8928216701
356,2/1/21,138.5714286,3885832,9647691299
357,2/2/21,136.1428571,3682397,8168170214
358,2/3/21,133.7142857,3733915,8620302821
359,2/4/21,131.4285714,3913090,6426612760
360,2/5/21,127.7142857,2840616,6040959925
361,2/6/21,127.4285714,2925758,6781769145
362,2/7/21,125.1428571,2866005,8005412582
363,2/8/21,125.1428571,3657131,9817348963
364,2/9/21,119.4285714,2838117,7781200457
365,2/10/21,113.7142857,3074857,7429191417
366,2/11/21,109.2857143,2631707,8228549141
367,2/12/21,106.8571429,2161013,6214302215
368,2/13/21,104.8571429,2575518,7062057314
369,2/14/21,99.71428571,1871926,4923663121
370,2/15/21,93.57142857,2532614,6480259602
371,2/16/21,92,2456304,5100817637
372,2/17/21,91.28571429,2460232,7737258725
373,2/18/21,92.28571429,2625066,6807652023
374,2/19/21,94.42857143,2839083,6364806725
375,2/20/21,90.85714286,1737744,5701316429
